transcript_id,speaker_role,entropy,age_in_months,age,entropy_random
2797,Parent,5.4542924551293295,34,34.46066654346085,5.4542924551293295
2797,Target_Child,5.414045280293649,34,34.46066654346085,4.80646923570192
2798,Parent,5.634061521798819,34,34.822070268383335,5.3989925648249155
2798,Target_Child,5.301916022910571,34,34.822070268383335,5.271017284190917
2799,Parent,5.572096786182789,34,34.822070268383335,5.484694515535361
2799,Target_Child,5.4720272109214525,34,34.822070268383335,5.268538410542413
2802,Parent,4.8717338814885,35,35.32926754142795,5.423685206969089
2802,Target_Child,5.084520948995723,35,35.32926754142795,5.238505748934313
2805,Parent,4.251561605519362,36,36.1650136553112,6.01471615009697
2805,Target_Child,5.211748600317636,36,36.1650136553112,5.045860550224377
2806,Parent,5.313147833083315,36,36.42785272798209,5.325797653246178
2806,Target_Child,5.170021989055997,36,36.42785272798209,4.916466294300541
2808,Parent,5.339615389485747,37,37.16503418961375,5.447226063115245
2808,Target_Child,5.376392820950872,37,37.16503418961375,5.2723366075501366
2809,Parent,5.501678185192835,37,37.42787326228465,5.4055336225705215
2809,Target_Child,5.230453182219778,37,37.42787326228465,5.35827633941328
2810,Parent,5.733271405947049,37,37.88784163945871,5.287644801856224
2810,Target_Child,5.401375776424399,37,37.88784163945871,5.172008716610242
2811,Parent,5.161005867754861,38,38.06649007166472,5.602541408585084
2811,Target_Child,5.428162653847058,38,38.06649007166472,5.431851244336812
2812,Parent,4.5245914280789625,13,13.46023532310725,5.586485735612069
2812,Target_Child,2.7826392784335803,13,13.46023532310725,3.545319023705799
2814,Parent,4.8098948781603665,14,14.033142364319596,5.299166796742902
2814,Target_Child,1.5907432824729502,14,14.033142364319596,4.637421564485537
2815,Parent,5.128432041664427,13,13.854493932113595,5.418497887190223
2815,Target_Child,1.2093022603324972,13,13.854493932113595,1.2093022603324972
2817,Parent,5.029998132464531,14,14.164561900655045,4.922937177441274
2817,Target_Child,3.1148303897360994,14,14.164561900655045,2.1637629275018293
2818,Parent,4.775196458337917,14,14.131707016571182,4.904839143957993
2818,Target_Child,3.003240450234801,14,14.131707016571182,3.0664567509844125
2819,Parent,4.922937177441274,14,14.033142364319596,5.102183995780051
2819,Target_Child,2.1716383771187675,14,14.033142364319596,3.5686628174350292
2821,Parent,4.798768530104689,14,14.09885213248732,4.961550151001072
2821,Target_Child,0.8960200426564894,14,14.09885213248732,3.4892445667271996
2823,Parent,5.02436508249484,14,14.493110741493664,5.037193296484737
2823,Target_Child,3.3070462799880938,14,14.493110741493664,3.3070462799880938
2824,Parent,4.607620386077863,14,14.065997248403457,5.096514276407683
