age_bin,speaker,prior_topic,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,row_sum
6,parent,topic_3,0.020127945605848848,0.031984965155655486,0.04619234241421889,0.06188277107320755,0.1556749740024853,0.016564398468253125,0.014855450258277956,0.013713218694496859,0.05684708574537521,0.0643228087211008,0.00497566376680802,0.43806466542946537,0.002685092906380743,0.002475558183707093,0.06963305957471876,9.272063318178411
6,parent,topic_4,0.0942907553615343,0.03392233090187016,0.008246246385840027,0.25377589265897976,0.12746765202328733,0.031203448906407784,0.028634504914780673,0.020457373646613496,0.08161274163202682,0.03395242619461486,0.008156425584821126,0.23078677444980564,0.004173740578050318,0.0046360871441585684,0.038683599617209075,21.82183713521983
6,parent,topic_5,0.04988035398304957,0.03364293876804464,0.004937960739232594,0.08977800273256997,0.2787481834080029,0.025324065636083633,0.01591348683955094,0.021065520844536865,0.07912692784594191,0.052327626437279,0.009763406753789814,0.26787539095019985,0.00976771928754371,0.003666506238474578,0.0581819095357,12.299739303673464
6,parent,topic_6,0.060659160121597666,0.041589470889731715,0.008315471558940577,0.10863487274515463,0.08675015436471262,0.1865777827006084,0.051164415362693276,0.02227399859435608,0.08616133241596076,0.04791865364662594,0.023214753273229357,0.22270666996038763,0.00428884892550411,0.0027111098793637166,0.04703330556113354,2.235334346787725
6,parent,topic_7,0.06343763075161006,0.046454820635905995,0.005369373030231614,0.1660519262295304,0.09365840810049136,0.05838566259503635,0.11099136837036631,0.060367887412911984,0.10913586486888333,0.03558649533132564,0.009668832443476407,0.19825993728332314,0.0044034820430256414,0.001548833767463715,0.03667947713641809,2.001298799626931
6,parent,topic_8,0.02588018853051462,0.07698181712571128,0.006770969368659562,0.12673584465209017,0.22545801988281092,0.025567226840192057,0.02583794917109542,0.147333893380142,0.05841436974716527,0.030483618434168667,0.023196875658735322,0.20175019440073969,0.004764718796437324,0.001586695106732359,0.01923761890480538,3.364900289040184
6,parent,topic_9,0.050723598780538316,0.04830388206819607,0.005130952670606806,0.12471332446033608,0.13451013300318904,0.022120682239163074,0.01724510648347229,0.00827282357962195,0.2743372771733577,0.04548878208277599,0.013022304873785924,0.18583049740451096,0.006463816614931653,0.011583121575323664,0.05225369699019058,16.30998837577528
12,child,topic_1,0.02989771407504589,0.07604947925658719,0.00770916396338131,0.019699568401163485,0.04057215512495366,0.0057558114807429025,0.010204973470573758,0.04221471298553517,0.02771282254592573,0.03495400020652678,0.312384401106563,0.33343897551677204,0.025216978907288794,0.0072708420094664186,0.026918400949473814,225.00201435906925
12,child,topic_10,0.00985807597713224,0.1011359232420895,0.006323014005062094,0.021828062964384616,0.04191609088472951,0.005005982296777502,0.005904066314423674,0.04516299688862702,0.03424469751861786,0.08403452672430058,0.26254316097212627,0.2727045095432652,0.057748288155371134,0.012690927487452363,0.03889967702564041,345.26173477441876
12,child,topic_11,0.009724780471746892,0.050517542967346896,0.005683206056109425,0.01787784547106174,0.0315941504855361,0.0069697858385749335,0.007212253140615848,0.05898859165919628,0.024871881210856206,0.03685614423409393,0.5663733582419203,0.0959078116698293,0.04119504282894671,0.006724628945531331,0.0395029767786342,355.6530507638237
